name,caption,sentiment,emotion,desire
Angry businessman standing arms crossed in restaurant,Angry businessman standing arms crossed in restaurant.,negative,anger,none
Fearful man looking sideways through venetian blind,"This terrified man looking out to the side through a venetian blind could be witnessing a crime, watching the suspicious behavior of neighbors, or simply a paranoid, isolated shut-in.",negative,fear,curiosity
This is what a weekend should look like,Cropped shot of an affectionate young couple relaxing at home,positive,happiness,romance
Girl is dissatisfied with today's lunch,Child does not like the vegetables for lunch,negative,disgust,none
Sad Break Up,Young Couple Breaking Up On Cafe Meeting,negative,sad,romance
Closeup of office workers hugging,People in a startup business space celebrating a co-worker. Woman is being hugged by one of her co-worker.,positive,happiness,social-contact
Portrait of laughing woman with afro wearing black turtleneck pullover,Portrait of laughing woman with afro wearing black turtleneck pullover,positive,happiness,none
Bride and Groom,Wedding concept,positive,happiness,romance
Young Adult Woman Walking on a Break,"Young adult woman, walking for exercise on a break from work in a downtown city environment.",neutral,neutral,none
Elderly Woman Pointing Gun,"Woman with a Pistol, pointing at camera isolated on white",negative,anger,vengeance
Happy couple sitting in sofa with their 3 dogs,Everyday life at home with dogs,positive,happiness,romance
Boy sitting in front of a plate of broccoli with a disgusted look on his face,Boy sitting in front of a plate of broccoli with a disgusted look on his face,negative,disgust,none
We Love Our Family!,"Front-view shot of a beautiful multi-ethnic family playing in the back yard together, parents can be seen giving their children piggybacks.",positive,happiness,family
Girl upside down,Girl upside down,positive,happiness,social-contact
"Austria, Salzkammergut, Cheering couple reaching mountain summit","Austria, Salzkammergut, Cheering couple reaching mountain summit",positive,happiness,romance
Disappointed senior woman,Disappointed senior woman,negative,anger,none
Angry teenage boy,Portrait Of Angry Teenage Boy Wearing Eyeglasses,negative,anger,none
Group of friends having fun with confetti on the floor,Group of friends having fun with confetti on the floor,positive,happiness,social-contact
Smiling father and baby girl using laptop on table at home,Smiling father and baby girl using laptop on table at home,positive,happiness,family
Patient sitting on hospital bed waiting,Patient sitting on hospital bed waiting for surgery looking out window,negative,sad,tranquility
Little boy swimming crawl in pool,Portrait of little boy swimming underwater in the pool. Sunny summer day. Nikon D850,neutral,neutral,none
Young father teaching his son to fish on a pier.,Father and son enjoying a day at the lake and fishing on a pier.,neutral,neutral,family
Infidelity concept. Unfaithful womanizer guy turning around amazed at another woman while walking with his girlfriend on street,Disloyal man walking with his girlfriend and looking amazed at another seductive girl,negative,sad,romance
"Two young women exercising, powerwalking up stairs","Two multi-ethnic young women exercising together. They are looking at each other, smiling, as they climb a staircase holding hand weights.",neutral,neutral,none
Fisherman holding big fish.,"Fishing on the lake at sunset,fisherman holding big fish.",neutral,neutral,none
"Couple after argument, man using a digital tablet, woman laptop","Adult couple after argument, sitting at the table in the kitchen at home. Man using a digital tabet and woman typing on laptop, peeking at her partner.",negative,sad,romance
"Sou'wester clad George Formby peers out of an engine room in a film which also stars Phyllis Calvert, Garry Marsh, Romney Brent, Bernard Lee, Coral Browne.The film is a spy comedy 'Let George Do It'. Itle: Let George Do It Studio: Ealing Director: Marcel Varnel..","Sou'wester clad George Formby peers out of an engine room in a film which also stars Phyllis Calvert, Garry Marsh, Romney Brent, Bernard Lee, Coral Browne.The film is a spy comedy 'Let George Do It'. Itle: Let George Do It Studio: Ealing Director: Marcel Varnel",negative,fear,curiosity
Elderly Couple Enjoying Outdoor Meal With Family,"An elderly couple embracing, enjoying an outdoor meal with the family in a courtyard.",positive,happiness,romance
Bride and Groom enjoying in their love,Romantic newlyde couple standing on the roof top in the city in the night,positive,happiness,romance
Young woman enjoying coffee and relaxing on a sofa with a book,Young woman who is enjoying a cup of coffee while relaxing on a sofa. Conveys warmth and comfort in a relaxing environment.,neutral,neutral,none
Portrait of Fisherman Tying a Fly on Stege Nor Denmark,"Close up candid portrait of a fly fisherman, 64 years old, tying a fly onto his line. Photographed against a setting sun on Stege Nor on the island of Møn in Denmark. Colour, horizontal format with some flare coming into the lens from the setting sun, enhancing the mood of the picture.",neutral,neutral,none
Enraged man shaking fist through windscreen: road rage,"Man driving loses his temper and shakes his fist, yelling, in a bout of road rage.",negative,anger,none
Smiling African American mother and daughter using laptop at home.,Happy African American mother teaching her little daughter how to use a computer. There are people in the background.,neutral,neutral,family
Young woman reading at home,"Vintage toned portrait of a young woman relaxing and reading after work, in the bright and beautiful apartment on the high floor in Belgrade, Serbia. She is wearing casual, everyday clothes.",neutral,neutral,none
Relationship difficulties,Mature couple having bad times,negative,sad,romance
Arriving To Work By Bike,Young Man Arriving To Work By His Bicycle,neutral,neutral,none
Depressed crying little boy holding head in hands,Depressed 6 years old child crying. Dark background.,negative,sad,tranquility
There's a lesson behind every loss,Shot of a young man yelling at his fellow baseball players in a locker room.,negative,anger,none
Women Exercising Together,Pregnant fitness instructor is guiding two women around a park as they take a buggy bootcamp class with their children.,neutral,neutral,family
Sad woman hugging her boyfriend,Sad woman hugging her boyfriend,negative,sad,romance
"Music first, life later",Shot of a young woman using headphones while relaxing on the sofa at home,neutral,neutral,none
Family Harvesting Vegetables From Garden at Small Home Farm,Mother and her children dig fresh potatoes from their garden on a warm late summer morning at their home. Shot in Washington state.,neutral,neutral,family
"Wide-eyed, frightened man peeps through wooden blinds apprehensively","Peeping out through the slats of a closed wooden venetian blind, this man's eyes show horrified terror; perhaps there is a real threat, perhaps it is all in his mind.",negative,fear,curiosity
Senior Woman Enjoying Summer Vacation,"Senior woman swimming in a swimming pool while on holiday in Paphos, Cyprus. She is turning her head as she swims to laugh at her friends.",positive,happiness,none
Smiling woman using smart phone at supermarket,Smiling woman text messaging on smart phone. Happy female customer with curly hair is wearing casuals. She is shopping at supermarket.,positive,happiness,none
Mixed Race woman with headache near Christmas tree,Mixed Race woman with headache near Christmas tree,negative,sad,none
Relationship Difficulties,Relationship Difficulties,negative,sad,romance
Sad lonely girl sitting on stairs,"Depressed young woman sitting on stairs outdoors, with copy space",negative,sad,tranquility
"Senior couple tourist standing by lake in nature on holiday, hugging.","Old man and woman on a walk in summer, talking.",positive,happiness,romance
Redhead Teenaged Boy with Vizsla Dog Resting on Forest Boardwalk,"Inter-River Park, North Vancouver, British Columbia, Canada",neutral,neutral,none
"Injection, doctor administering injection to patient's arm",Injection. Doctor administering an injection to a patient's arm.,negative,fear,none
Businessman dancing in office lobby,Businessman dancing in office lobby,positive,happiness,none
Silhouette of Little girl sitting on bed,Little girl sits on a bed in a dark bedroom with blue sky and trees can be seen behind her in the window.,negative,sad,none
Young Man Spy on Girlfriend's Cell Phone,Young Man Spy on Girlfriend's Cell Phone,negative,sad,romance
Sadness,Rear View Of Sad Woman Leaning On Wall,negative,sad,none
Young afro american woman shouting,Side view shot of a real young afro american woman shouting against gray background. Vertical portrait of angry female in leather jacket screaming. Studio photography from a DSLR camera. Sharp focus on eyes.,negative,anger,none
Dancing as a part of development,Dancing parents and toddler,positive,happiness,family
Must his hand be there?,Young woman looking uncomfortable as her boss puts his hand on her shoulder,negative,disgust,none
Contemplating student sitting at a coffee shop,Lovely modern girl enjoying her time at a coffee shop.,negative,sad,none
"Young mother working at home, son is sitting next to her","Young mother working at home, son is sitting next to her",neutral,neutral,family
Senior patient using mask looking through window at hospital,Senior patient using mask looking through window at hospital,negative,sad,tranquility
Family Standing and Praying in Church,Family Standing and Praying in Church,neutral,neutral,family
Grandma hugging grandson,Grandma hugging grandson,positive,happiness,family
Highschool nightmare - waking up in your bathrobe,Young girl with bathrobe and slippers having a nightmare that she is in the halls of her high school.,negative,fear,tranquility
"Little boy in garden, smelling fresh herbs","Little boy in community garden, smelling fresh herb plant.",positive,happiness,curiosity
Close-up of sad woman lying on bed,Close-up of sad woman lying on bed,negative,sad,none
Pretty young lady watching movie at home,Scared beautiful woman using TV remote while watching scary film in living room. Lifestyle concept,negative,fear,curiosity
Happy teenage boy lying on a bench using cell phone,Happy teenage boy lying on a bench using cell phone,positive,happiness,none
Senior woman using digital tablet in chair,Senior woman using digital tablet in chair,neutral,neutral,none
Man resting on a chair with a laptop and headphones,Man resting on a chair with a laptop and headphones,neutral,neutral,none
Office Espionage,There is drama in the office. What is the scoop These cubicle dwellers will find out.,positive,happiness,curiosity
Girl with no one to play with on the teeter totter,Sad little girl sitting alone on a teeter tooter with her hands on her face.,negative,sad,none
Jealous Woman,Woman with a low black and white dress looks on with jealousy as a loving couple cosy up together on a couch. The man they are both interested in seems to be enjoying the attention of the woman in the red dress. They are both smiling at each other.,negative,sad,romance
Caucasian man frowning outdoors,Caucasian man frowning outdoors,negative,anger,none
Male and female students using laptops in classroom,Male and female students using laptops in classroom,neutral,neutral,none
Father teaching young son how to hold a football,Outdoor portrait of a father and his young son. Father is teaching his son how to put his fingers on the laces of a football. Boy is wearing a football uniform.,neutral,neutral,family
Playful learning,"Teacher with a group of preschool children in a nursery. The children are sitting on the floor and listening teacher. Learning letters. In the background we can see a shelf with some, toys, black board and books. View from behind.",positive,happiness,curiosity
Disgusted Young Woman Sticking Out Tongue,Portrait of a young woman on a white background.http://s3.amazonaws.com/drbimages/m/anarul.jpg,negative,disgust,none
Senior couple on beach,Senior couple on beach,positive,happiness,romance
Hispanic girl reading to toddler sister in living room,Hispanic girl reading to toddler sister in living room,positive,happiness,family
Woman dancing,Woman dancing,positive,happiness,none
Young woman working late and checking work email on mobile at home,Young Asian businesswoman working late and checking work email on mobile at home,negative,sad,none
Three mature women power walking together on waterfront,"Three multi-ethnic women exercising together, power walking side by side on a city waterfront. The African-American woman with black hair is in her 50s. Her friends are senior women in their 60s.",neutral,neutral,none
Young woman sitting on the edge of a bed with young man in the background,Young woman sitting on the edge of a bed with young man in the background,negative,sad,romance
New possibilities lie ahead,Rearview shot of a man watching the sun set at the beach,neutral,neutral,none
Finding my balance,Cropped shot of an unrecognizable woman sitting on a yoga mat and meditating alone in her home,neutral,neutral,none
Floral dancer,"Rear view of a beautiful, russet young woman dancing in the middle of the flower meadow, surrounded by yellow flowers, spreading her skirt out",positive,happiness,none
Beautiful young Asian woman reading a book while drinking a cup of coffee. Enjoying a quiet time and relaxing environment at cozy home,Beautiful young Asian woman reading a book while drinking a cup of coffee. Enjoying a quiet time and relaxing environment at cozy home,neutral,neutral,none
Girl smiling reading book with magnifying glass,"Bookshop, library, indoors, kids, sitting, activity, people, casual, stripy, smiling, mid-length hair, brown hair, illustrated book, desk, holding, magnifying glass, looking through, classroom, concentration, toothy smile, happiness",positive,happiness,curiosity
Smiling woman walking with adopted dogs,Smiling woman walking with adopted dogs,neutral,neutral,none
Thief in action,"Man and woman, criminal thief is trying to steal a purse from a woman in a subway.",negative,fear,tranquility
Boys hiding behind trash cans with water guns,"San Fernando Valley, California, USA",negative,anger,vengeance
Smiling woman sitting in beanbag using cell phone,Smiling woman sitting in beanbag using cell phone,positive,happiness,none
Stressed out Student in School,"Stressed out college or high school student hiding behind piles of books on top of his desk. He is wearing glasses, and has brown hair.",negative,fear,none
"Woman sitting on couch, reading book, smiling","Woman sitting on couch, reading book, smiling",positive,happiness,curiosity
Young Boy Smiles with his Christmas Present,Young Boy Smiles with his Christmas Present,positive,happiness,none
"Young woman with long curly red hair wearing white medieval-styled blouse and knotted leather belt and holding dagger, turning away from camera, studio shot with textured gray background","Young woman with long curly red hair wearing white medieval-styled blouse and knotted leather belt and holding dagger, turning away from camera, studio shot with textured gray background",negative,anger,vengeance
His motivation simply wandered away,Shot of a young businessman sleeping at his desk in an office,neutral,neutral,none
Below view of young cheerful family in shopping.,Low angle view of cheerful family having fun during a shopping day in the city.,positive,happiness,family
My retirement plan paid off,Shot of a senior woman relaxing outside in the garden of a retirement home,positive,happiness,none
You still tickle my funny bone!,Shot of two happy elderly women spending time with each other at home,positive,happiness,social-contact
Keeping an eye on the markets,Shot of a mature man sitting in his living room reading a newspaper,neutral,neutral,none
Professionals planning together in office,Young businessman discussing with female colleague while writing on adhesive note. Professionals are seen through glass wall planning together in office.,positive,happiness,none
How to Retire Happy,Senior couple on the beach,positive,happiness,romance
Portrait of a senior woman,Portrait of a senior woman,negative,sad,none
Boy is disgusted and making faces,Boy is disgusted and making faces,negative,disgust,none
Couple ignoring each other,Couple ignoring each other,negative,sad,romance
Elderly Man Fishing,Man fishing on the ocean from the back of his boat at sunset,neutral,neutral,none
Beautiful women eating ice cream in walk,Two smiled women eating ice cream while walking during sunny summer day.,positive,happiness,social-contact
Pretty blonde with multi-colored donuts,Pretty blonde with multi-colored donuts,positive,happiness,none
Black multi-generation family counting coins,Black multi-generation family counting coins,positive,happiness,family
"Wish blog can write itself, without my help!","Wish blog can write itself, without my help!",negative,anger,none
Portrait of young woman enjoying time in bed,Portrait of young woman enjoying time in bed,neutral,neutral,none
French Bulldog sleeping on man using his smart phone,Man relaxing on sofa with his smartphone together with his Frenchie resting on his laps,neutral,neutral,none
"Young businessman looking frightened, posing in studio, , portrait","Young businessman looking frightened, posing in studio, , portrait",negative,fear,none
Happy woman sitting beside window sill looking out of window,Happy woman sitting beside window sill looking out of window,positive,happiness,none
Little boy learning to play violin.,Little boy aged 7 is practicing violin. Teacher is helping him by correcting his posture.,neutral,neutral,family
Senior Black Woman Riding Bike in nature,Senior African American Couple riding their bikes in nature,neutral,neutral,none
Preschool teacher reading a book to children in classroom.,Preschool teacher reading a book to children. Children sitting on the floor and listening carefully. Models in this shot are part of real kindergarten group and their teacher.,positive,happiness,curiosity
Doctor giving patient a shot in office,Doctor giving patient a shot in office,negative,fear,none
Bringing positive energy to the workplace,Shot of a happy businesswoman in a modern office,positive,happiness,none
Multi-Ethnic Friends Celebrating Good News on Mobile,Coworkers,positive,happiness,social-contact
Online doctors consultation,Senior women ordering online,positive,happiness,none
Aggressive couple arguing about their problems at home.,Furious couple fighting while having problems in their relationship.,negative,anger,vengeance
Little Boy And His Grandfather Fishing At Sunset - I,Little Boy And His Grandfather Fishing At Sunset - I,neutral,neutral,family
Stressed mature businessman with laptop,Stressed mature businessman with laptop,negative,sad,none
Sad child in isolation at home,Sad child in isolation at home for virus outbreak. Sadness. Depression. Loneliness.,negative,sad,tranquility
Depressed Pregnant Teen,Depressed Pregnant Teen,negative,sad,tranquility
Cheerful colleagues laughing during corporate event,"Smiling businesswoman at work seminar, networking, confidence, conversation",positive,happiness,none
Argument,Businesswoman arguing,negative,anger,vengeance
Hispanic mother and daughter playing in living room,Hispanic mother and daughter playing in living room,positive,happiness,family
He doesn't feel safe in his own home,Little boy suffering from child abuse curled up on the sofa with his teddy.,negative,fear,tranquility
"Mother and son practicing yoga at home, ground view","Mother and son practicing yoga at home, ground view",neutral,neutral,family
Father with baby daughter using laptop at home.,Father with baby daughter using laptop at home.,neutral,neutral,family
Rear view of blond lady taking her dog for a walk,Rear view of mid adult blond lady taking her pet pug for a walk in public park,neutral,neutral,none
Young couple having fun riding scooter in old European town,Tourist friends on summer holidays in Europe having fun riding retro scooter by the sea,positive,happiness,social-contact
Boys and girl in summer,Three happy children eating sandwiches and drinking lemonade in hammock in a park or back yard in summer,positive,happiness,social-contact
Parents with son using laptop at home,Parents with son using laptop at home,neutral,neutral,family
Baby walking with help of its parents - first steps,"Baby walking with the help of its parents - first steps, outdoor photography. Slovenija, Europe, all logos removed. NIKON D3X, Nikkor 70.0-200.0 mm, aperture 2.8, Copy space.",neutral,neutral,family
Learning to ride a bicycle,Photo of a young boy who is learning to ride a bicycle with a little help from his father,neutral,neutral,family
Frowning girl,Close-up studio shot of a cute preschool age girl making a sulky face,negative,disgust,none
Family with a New Kitten,Family with a New Kitten,negative,fear,curiosity
Happy young family at home.,Happy young family at home.,neutral,neutral,family
Japanese friends hanging out together in the city,"Japanese friends hanging out together in the Tokyo for shopping, Japan.",positive,happiness,social-contact
Spending day with dog in nature,Spending day with dog in nature,positive,happiness,none
Woman using tablet on swing seat in garden,Woman using tablet on swing seat in garden,neutral,neutral,none
Relaxed girl with cat listening to music,Gen Z girl with eyes closed hugging a cat and enjoying music,neutral,neutral,none
Asian family playing on the beach.,Asian family playing on the beach.,neutral,neutral,family
Smiling mid adult man using phone at his desk,Smiling mid adult man using phone and smiling. Hispanic male professional texting on his cell phone while working at his desk.,positive,happiness,none
Will you make me the happiest man in the world?,Full length shot of a young man proposing to his girlfriend on the beach,positive,happiness,romance
Lonely girl in cafe,Lonely girl in cafe,negative,sad,none
Girl Loving And Hugging Tightly Her Dog. Real Feelings. Animal Protection.,"Photo taken in Belgorod, Russia",negative,sad,none
Entrepreneur with coworker in office meeting,Smiling entrepreneur with female coworker looking away in meeting at workplace,positive,happiness,social-contact
Boy tasting sprouts at christmas table,Boy tasting sprouts at christmas table,negative,disgust,none
Year old boy holding binoculars,Year old boy holding binoculars,positive,happiness,curiosity
Women Cooking Thanksgiving Gravy,Women Cooking Thanksgiving Gravy,neutral,neutral,family
Two men with full beards fighting in abandoned landscape,Two men with full beards fighting in abandoned landscape,negative,anger,vengeance
"Businessmen drinking at bar, sour expressions on face","Businessmen drinking at bar, sour expressions on face",negative,disgust,none
Office Workers Arguing at Conference Table,Office Workers Arguing at Conference Table,negative,anger,none
Young Family using a Laptop during Breakfast,"Close up of a young family using a laptop in the morning , while the father is talking on the phone",positive,happiness,family
The little boy felt very sour lemon,The little boy felt very sour lemon.,negative,disgust,none
"Indoor, serene young man resting head on hand and thinking.","Indoor low key image of a serene young man thinking by resting his head on hand and looking away with and blank expression. He is wearing a t-shirt. One person, waist up, horizontal composition with selective focus and copy space.",negative,sad,none
Elderly Couple Embracing Before BBQ With Family,An elderly couple embracing and smiling before sitting down for a barbecue with the family in a courtyard.,positive,happiness,romance
"You aren't scared of a little needle, are you?",Doctor preparing to give a nervous young woman an injection,negative,fear,none
Backlit teenager sitting in a dark indoor doorway in contemplation,Backlit teenager sitting in a dark indoor doorway in contemplation,negative,sad,tranquility
Furious man with empty credit card,Angry businessman in cafe phoning the bank,negative,anger,none
Coronavirus quarantine. The woman in an antiviral mask is indoors by the window. House arrest.,The person in a medical mask is in compulsory isolation. Looks from a window through blinds. Drastic measures of precaution from a virus are taken. Terrible epidemic. Optimism and hope for rescue.,negative,fear,curiosity
Facial expressions shock young woman,Facial expressions shock young woman,negative,fear,none
Man in lockdown looking through the window,Man in lockdown during curfew wearing a mask and looking through the window. Pandemic of Coronavirus / Covid-19.,negative,fear,curiosity
Fisherman casting his net at sunset,Man throws a fishing net during sunset in Fiji,neutral,neutral,none
Angry afro american teenager girl,"Studio portrait of angry afro american teenage woman looking at camera. Studio shot, grey background.",negative,anger,none
Mobile phone addiction - jealous wife is peeking her texting husband in the bed,Mobile phone addiction - jealous wife is peeking her texting husband in the bed,negative,sad,romance
Outdoor walks for seniors,Walking seniors,neutral,neutral,none
Two businessmen fighting on white background,Two businessmen fighting on white background,negative,anger,vengeance
Little boy sitting on white,"""Little boy sitting on white background looking up, with copy space to viewpoint""",positive,happiness,curiosity
Woman blowing dandelion flower,"Portrait of a woman blowing a dandelion at sunset in Boulder, Colorado.",neutral,neutral,none
Smiling university student studying at home,Smiling university student studying at home,neutral,neutral,none
Lovely morning sunlight as senior woman walks her dog along a foot path,Photo of a smiling senior woman walking her dog outdoors along a foot path,neutral,neutral,none
Business Meeting - Manager Freaking Out,Business Meeting - Manager Freaking Out,negative,anger,none
Asian couple talking about buying a new house,Asian couple talking about buying a new house.,positive,happiness,romance
Women in the Countryside,Women are laughing and talking as they walk through the countryside.,neutral,neutral,none
Man Sleeping in Bed,Man Sleeping in Bed,neutral,neutral,none
Cheerful businessman working from home on phone,"Man in his 30s sitting on chair with laptop, on phone call, communication, owner, entrepreneur",positive,happiness,none
It wouldn't be a game without a bit of drama,Shot of a young man arguing with the referee during a rugby game,negative,anger,vengeance
Mother Measure Temperature On Her Sick Child At Home.,Mother wearing face protection mask at home and measure a temperature on her sick child.,neutral,neutral,family
High Angle View Of Woman Sleeping On Bed,"Photo Taken In Berlin, Germany",neutral,neutral,none
Man standing at the edge of a cliff and thinking,Man standing at the edge of a cliff and thinking,negative,fear,tranquility
Depression in women,Melancholy woman resting at the terrace,negative,sad,none
Portrait of sad young woman in a coffee shop looking at cell phone,Portrait of sad young woman in a coffee shop looking at cell phone,negative,sad,none
Father playing with daughters during picnic in weekend,Father playing with daughters during picnic in weekend,positive,happiness,family
"When you retired, everyday is a holiday",Shot of a senior married couple with their bicycles on the beach,neutral,neutral,none
Happy father carrying son piggyback at home,Happy father carrying son piggyback at home,positive,happiness,family
Woman smiling but also crying.,Ezra Bailey,negative,sad,none
Lovely little girl looking at the camera joyfully,Lovely little girl looking at the camera joyfully with one arm hugging mom's leg & another arm hugging dad's shoulder.,positive,happiness,family
Little boy sitting on table crying,Little boy sitting on table crying,negative,fear,none
Mature couple having fun while cooking lunch.,Closeup side view of a mid 60's couple having fun while cooking lunch together. They are dancing next to kitchen counter as the vegetable soup is slowly simmering.,positive,happiness,romance
Thoughtful Woman Sitting On Window At Home,"Photo taken in Moscow, Russia",negative,sad,none
Grumpy little boy,Grumpy little boy,negative,sad,none
Working hard no matter the time,Shot of a young attractive businesswoman working late at night in a modern office,positive,happiness,none
Couple in the storm,Young couple with relationship difficulties at a restaurant.,negative,sad,romance
Cuddle,Mom and baby boy cuddling on the bed in the morning,positive,happiness,family
"Grandfather, Son and grandson on couch at home","Grandfather, Son and grandson on couch at home",neutral,neutral,family
Cute little boy laughing in studio,Close up portrait of cute little boy laughing against gray background. Vertical shot of real kid looking excited in studio. Photography from a DSLR camera. Sharp focus on eyes.,positive,happiness,none
Online frustration,Online frustration,negative,anger,none
Happy couple sitting on couch eating pizza,Happy couple sitting on couch eating pizza,positive,happiness,romance
Afro american man with surprised expression,"Close up portrait of afro american man with surprised expression, looking away at copy space with mouth open on white background",positive,happiness,none
Couple sleeping in Bed together,Early morning shot of young couple sleeping in Bed together.,neutral,neutral,none
"Switzerland, Engadin, woman on a hiking trip standing at lakeside in mountainscape","Switzerland, Engadin, woman on a hiking trip standing at lakeside in mountainscape",positive,happiness,curiosity
Asian toddler boy 2 to 3 years old making bubbles in the garden.,Asian toddler boy 2 to 3 years old making bubbles in the garden with pet cat.,positive,happiness,curiosity
Woman reading book sitting on the floor at home,Woman reading book sitting on the floor at home,neutral,neutral,none
Woman making a disgust face to look a glass of milk,Woman making a disgust face to look a glass of milk,negative,disgust,none
The ocean breeze brings a life of ease,Rearview shot of a young woman blocking the sunlight with her hands at the beach,neutral,neutral,none
Children observing ants in autumn leaves,Children having fun observing ants in autumn forest. Nikon D850.,positive,happiness,curiosity
Found my queen in you,Shot of a happy young couple on their wedding day,positive,happiness,romance
Soccer Players Pushing,"Fighting Soccer Players pushing each other. Shot against the sun and blue sky. Slight lens flares, Edited Colors. Soccer Player Series.",negative,anger,vengeance
Time to unwind...,Shot of young woman relaxing on the sofa at homehttp://195.154.178.81/DATA/i_collage/pi/shoots/783516.jpg,neutral,neutral,none
Young woman take a break and relaxing,Young woman take a break and relaxing,neutral,neutral,none
Afro Senior Looking Through The Window,Am So Happy,positive,happiness,none
Little brother screaming at her older sister.,Little brother screaming at her older sister.,negative,anger,vengeance
BOY DISGUSTED BY GIANT PLATE OF PEAS AT KITCHEN TABLE,BOY DISGUSTED BY GIANT PLATE OF PEAS AT KITCHEN TABLE,negative,disgust,none
"Senior woman grimaces, having problem hearing sound on mobile phone","Senior woman holds a smart phone to her ear, grimacing, having difficulty with the sound.",negative,disgust,none
Just Married,"Couple - Relationship, Bride, Smiling, Married, Newlywed",positive,happiness,romance
Interested middle school students in biology class,Attentive diverse middle school students listen to teacher during science class. The male teacher is holding a specimen container with a crawfish inside.,positive,happiness,curiosity
Happy female leader talking to her colleagues on a business meeting in the office.,Young happy CEO communicating with her colleagues on a meeting in the office.,positive,happiness,social-contact
Portrait of a young handsome African man.,Portrait of a young handsome African man looking at the camera . He is leaning on light blue/yellow wall.,positive,happiness,none
Mother reading a book to her daughter at night,Mother reading a fairy tale book to her daughter under children's blanket fort at night,neutral,neutral,family
Business woman looking out of office meeting room,Business woman looking out of office meeting room,negative,anger,none
Meditation,Close up of a young woman meditating at home,neutral,neutral,none
Business colleagues in meeting with female amputee sitting on desk,"Diver group of mixed age and multi ethnic colleagues in discussion, mid adult man explaining and gesturing, woman with artificial limb smiling and listening",positive,happiness,social-contact
Retired senior man sleeping on bed by alarm clock at home,Retired senior man sleeping on bed by alarm clock at home,neutral,neutral,none
"Mother standing, holding child , posing, portrait","Mother standing, holding child , posing, portrait",neutral,neutral,family
Woman in Panic,Headshot of a young hispanic woman screaming on white background,negative,fear,none
Father helping teenage daughter with revision,Father helping teenage daughter with revision,neutral,neutral,family
"Businesswoman under desk in office, holding yellow folder","Businesswoman under desk in office, holding yellow folder",negative,fear,curiosity
Young black couple dancing salsa,"Young black couple dancing salsa on the streets of Trinidad, Cuba while the other girl watching them.",negative,sad,romance
Carefree senior couple dancing in the living room,Carefree senior couple dancing in the living room,positive,happiness,romance
Young girl reading a book,African American girl sitting on the floor and reading a book,positive,happiness,curiosity
Portrait of woman lying on bed,Portrait of woman lying on bed,neutral,neutral,none
"Forewer love,forewer young,forewer happy","The bride and groom on their most important day in your life. They love each other, holding hands, kissing. It is the wedding dress and he in formal suits. They are ready to say to each other YES.",positive,happiness,romance
Student working at desk in bedroom at night,Student working at desk in bedroom at night,neutral,neutral,none
Scared Businessman Looking Up Standing Against White Background,Scared Businessman Looking Up Standing Against White Background,negative,fear,none
Portrait of casual businessman during meeting,Portrait of a casual afro-american businessman during a meeting. He's smiling to his colleague,positive,happiness,none
"Teenage girl in her bedroom on devices, showing a range of emotions including happiness and saddness.",Young adolescent Australian girl relaxing in her room during the day whilst on a computer and on a phone portraying variety emotions.,negative,sad,none
Young woman using laptop at home,Young woman is using a laptop at home.,neutral,neutral,none
Sad man sitting in beer bar,Sad man looking at beer glass while sitting in beer bar,negative,sad,none
Young woman enjoying sunset,Young woman sitting in yoga position enjoying sunset in nature,neutral,neutral,none
Real senior woman portrait looking away,Close up portrait of hispanic mature woman with naughty expression against gray background. Vertical shot of real senior woman with happy smile and looking to the side in studio. Short brown hair and colorful modern glasses. Photography from a DSLR camera. Sharp focus on eyes.,positive,happiness,curiosity
Colourful portrait of a small group of friends having fun together,Colourful portrait of a small group of friends having fun together,positive,happiness,social-contact
Bearded fisherman on his ship.,Bearded fisherman on his ship and looks out to the sea.,neutral,neutral,none
Selfie of woman doing angry face,Selfie of woman doing angry face,negative,anger,none
Bride and groom dancing their first dance,Bride and groom dancing their first dance,positive,happiness,romance
"Woman laughing, placed inside round opening in coloured wall","People moving threw portals in different shapes, in minimalistic studio setting in vivid colours",positive,happiness,none
Serious young woman eating cereals in bed,Serious young woman eating cereals in bed,negative,sad,none
"Boy, 11 watching scary movie","Bishop's Stortford, Hertfordshire, England",negative,fear,curiosity
Angry businesswoman against white background,Portrait of angry mature businesswoman. Serious female professional is standing against white background. She is wearing formals.,negative,anger,none
Woman ruffling her hair on bed,Woman ruffling her hair on bed,negative,fear,none
Mixed race boy reading book in grass,Mixed race boy reading book in grass,positive,happiness,curiosity
"Mother and little daughter sharing a piece of cake in the cafe, both of them are smiling joyfully","Mother and little daughter sharing a piece of cake in the cafe, both of them are smiling joyfully",positive,happiness,family
"Child with mother in swimming pool, holiday resort",Family having fun on summer vacations,positive,happiness,family
Girl on a Bike with Balloons,"Young Caucasian girl riding bike on grassy field, headed to the right of frame; multi-colored balloons attached to bike and streaming behind",positive,happiness,none
Happy little girl reads book in school library,Adorable Hispanic schoolgirl smiles while delight as she reads a picture book while standing in the school library.,positive,happiness,curiosity
Latina college girl looking at the camera with a smile,"Sideview, Smiling, Student,Latin, Backpack, Books, Technology, Campus, Horizontal,",positive,happiness,none
Learning,Close up of a young boy studying and doing homework using his laptop,neutral,neutral,none
Depressed teenage girl lying down in bed,Sad young woman lying in bed,negative,sad,none
Friends party wild in the streets,"Friends party wild in the streets, with fireworks and confetti",positive,happiness,social-contact
